TK1001,?stanbul,Ankara,2025-05-19T21:41:06.632749300,2025-05-19T22:41:06.632749300,Boeing 737,500.0
TK1002,Ankara,?zmir,2025-05-19T23:41:06.632749300,2025-05-20T00:41:06.632749300,Airbus A320,600.0
TK1003,?zmir,?stanbul,2025-05-20T01:41:06.632749300,2025-05-20T02:41:06.632749300,Boeing 737,550.0
TK1004,?stanbul,Antalya,2025-05-20T03:41:06.632749300,2025-05-20T04:41:06.632749300,Airbus A320,700.0
TK1005,Antalya,Ankara,2025-05-20T05:41:06.632749300,2025-05-20T06:41:06.632749300,Boeing 737,650.0
TK2001,?stanbul,Londra,2025-05-20T07:41:06.632749300,2025-05-20T10:41:06.632749300,Boeing 777,2500.0
TK2002,?stanbul,Paris,2025-05-20T09:41:06.632749300,2025-05-20T12:41:06.632749300,Boeing 777,2300.0
TK2003,?stanbul,Roma,2025-05-20T11:41:06.632749300,2025-05-20T13:41:06.632749300,Airbus A350,2100.0
TK2004,?stanbul,Dubai,2025-05-20T13:41:06.632749300,2025-05-20T17:41:06.632749300,Airbus A350,2800.0
TK2005,Dubai,Londra,2025-05-20T15:41:06.632749300,2025-05-20T19:41:06.632749300,Boeing 777,3200.0
